,Ingredient,Number of Usage
231,pineapple chunks,324
232,spaghetti sauce,321
233,poultry seasoning,318
234,granule,317
235,liqueur,316
236,golden raisins,313
237,cumin seeds,311
238,celery seed,305
239,romaine lettuce,303
240,pear,301
241,olive,300
242,graham cracker crumbs,294
243,cracker,294
244,rhubarb,293
245,poppy seeds,290
246,whipped cream,289
247,green chiles,287
248,beet,287
249,water chestnuts,286
250,thyme leaves,284
251,brandy,284
252,pork loin,284
253,yellow squash,283
254,chia seeds,282
255,celery salt,280
256,flavoring,280
257,dressing,279
258,lentil,277
259,hamburger buns,277
260,apple cider,274
261,puff pastry,273
262,tortilla chips,266
263,lemon pepper,265
264,tahini,261
265,beef chuck,261
266,chili sauce,258
267,curry paste,257
268,American cheese,257
269,beef bouillonni,255
270,provolone cheese,254
271,sunflower seeds,253
272,apricot,253
273,seafood seasoning,251
274,baby spinach,248
275,spray,247
276,yeast,246
277,blackberry,246
278,graham cracker crust,245
279,dry sherry,242
280,lemon extract,241
281,whipping cream,238
282,bean sprouts,238
283,flax seeds,237
284,grape tomatoes,234
285,Mexican cheese,233
286,chicken egg,232
287,agave nectar,230
288,prosciutto,227
289,cheese food,226
290,sauerkraut,225
291,Parmigiano-Reggiano cheese,225
292,pecan halves,222
293,marinara sauce,221
294,lettuce,219
295,Brussels sprouts,217
296,pork tenderloin,217
297,chipotle peppers,214
298,teriyaki sauce,212
299,wheat germ,212
300,rice wine vinegar,210
301,chicken bouillon,210
302,vanilla,209
303,cranberry sauce,209
304,tequila,206
305,lamb,205
306,Romano cheese,204
307,beef stock,204
308,pork shoulder,204
309,red peppers,197
310,pie shell,197
311,graham crackers,196
312,enchilada sauce,195
313,chocolate pudding,195
314,celery soup,194
315,watermelon,193
316,shiitake mushrooms,192
317,cheese blend,192
318,hazelnut,191
319,toothpick,190
320,hoisin sauce,190
321,coffee granules,189
322,cranberry juice,187
323,Gruyere cheese,185
324,corn kernels,183
325,saltine crackers,182
326,⅛,182
327,rotini pasta,182
328,chocolate syrup,180
329,pesto,179
330,radish,179
331,pepperoni,178
332,green chilies,177
333,salmon fillets,175
334,parsnip,174
335,nutritional yeast,173
336,okra,172
337,couscous,172
338,grape,171
339,mascarpone cheese,170
340,iceberg lettuce,167
341,barbecue sauce,167
342,baguette,165
343,clam,165
344,dry red wine,164
345,linguine pasta,164
346,rice flour,164
347,aluminum foil,163
348,cooky,163
349,milk powder,162
350,fluid,162
351,spaghetti squash,161
352,mirin,160
353,currant,159
354,pizza sauce,158
355,hair pasta,157
356,sec,157
357,fig,157
358,vanilla yogurt,156
359,carbonated beverage,154
360,barley,154
361,crescent rolls,153
362,basmati rice,153
363,sriracha sauce,153
364,white chocolate,151
365,arugula,150
366,apricot preserves,147
367,cauliflower florets,147
368,orange liqueur,146
369,wonton wrappers,146
370,mustard seed,145
371,pasta sauce,145
372,grapeseed oil,144
373,Creole seasoning,144
374,bourbon,144
375,cooking oil,144
376,turnip,143
377,tomatillo,143
378,ghee,142
379,butterscotch chips,141
380,salad greens,141
381,seasoning,140
382,fennel seeds,139
383,chipotle pepper,138
384,steak sauce,138
385,lard,137
386,caraway seeds,137
387,lemonade concentrate,135
388,squash,135
389,beef stewni,135
390,flank steak,134
391,beef brisket,134
392,orzo pasta,134
393,pimento peppers,134
394,minute,133
395,Aluminum Foil,133
396,rice noodles,133
397,amaretto liqueur,133
398,almond biscotti,132
399,sherry,131
400,avocado oil,131
401,cocktail,131
402,ginger ale,131
403,chile paste,130
404,herbes de Provence,130
405,orange marmalade,130
406,macadamia nuts,130
407,wild rice,129
408,Italian sausage,129
409,cream liqueur,128
410,club soda,128
411,Gouda cheese,127
412,chile powder,127
413,Arborio rice,127
414,dill pickles,126
415,anchovy,126
416,snow peas,125
417,chorizo sausage,125
418,salmon fillet,124
419,jasmine rice,124
420,tilapia,123
421,venison,123
422,peppermint extract,123
423,chile,122
424,creme,122
425,gin,121
426,kielbasa sausage,120
427,spice,120
428,asparagus spears,120
429,miso paste,119
430,simple syrup,119
431,biscuit dough,119
432,saffron,118
433,extract,118
434,pizza crust,117
435,fruit,117
436,raspberry jam,117
437,acorn squash,116
438,coconut extract,116
439,creme fraiche,116
440,turkey breast,115
441,schnapps,115
442,portobello mushrooms,115
443,beef sirloin,115
444,sauce,114
445,imitation crabmeat,114
446,dog,114
447,chicken salad,113
448,whiskey,113
449,dill pickle,113
450,pizza dough,113
451,Brie cheese,112
452,bourbon whiskey,112
453,corn oil,112
454,sirloin,111
455,Sriracha sauce,111
456,onion salt,111
457,dry lentils,111
458,pepperjack cheese,109
459,mustard seeds,109
460,crouton,109
461,sake,108
462,mace,106
463,yellow cornmeal,106
464,prune,106
465,chocolate cake,106
466,Marsala wine,105
467,orange peel,105
468,Dijon-style mustard,104
469,pistachio nuts,104
470,Asiago cheese,103
471,fettuccine pasta,103
472,processed cheese,103
473,onion flakes,103
474,chili beans,103
475,cod fillets,102
476,lima beans,102
477,coriander seeds,102
478,vanilla wafers,101
479,red grapes,101
480,chile sauce,101
481,lemon peel,100
482,baked chicken tender,100
483,curry leaves,99
484,jalapeno,99
485,Neufchatel cheese,99
486,flax seed,98
487,kiwi,98
488,sweet potatoes,98
489,Sausage,98
490,skewer,98
491,fennel seed,97
492,elbow macaroni,96
493,sage leaves,96
494,sweet corn,96
495,plum,95
496,cheese tortellini,95
497,cardamom pods,95
498,protein powder,95
499,cocoa,95
500,edamame,95
501,habanero peppers,94
502,potato starch,94
503,adobo seasoning,94
504,sea scallops,93
505,phyllo dough,93
506,basil pesto,92
507,habanero pepper,92
508,poblano peppers,92
509,eggnog,91
510,oyster,90
511,stevia powder,90
512,fennel,90
513,red pepper flakes,90
514,Pecorino Romano cheese,90
515,salami,89
516,choy,89
517,chicken drumsticks,89
518,jicama,89
519,ginger paste,89
520,pineapple tidbits,88
521,rice wine,88
522,vanilla sugar,88
523,pasta shells,86
524,strawberry flavored,85
525,andouille sausage,85
526,savory,85
527,bread cubes,84
528,bacon drippings,84
529,candy,84
530,lemon grass,84
531,tamari,83
532,allspice berries,83
533,cantaloupe,83
534,leaf lettuce,83
535,green cabbage,83
536,Greek seasoning,82
537,Milk,82
538,chipotle chile powder,81
539,white mushrooms,81
540,mussel,81
541,yam,80
542,apple pie,80
543,maraschino cherry,80
544,anise seed,80
545,sazon seasoning,80
546,tilapia fillets,80
547,cream topping,80
548,bouillon,80
549,caramel,79
550,honey mustard,79
551,pinto beans,79
552,sugar snap peas,78
553,lemon-pepper seasoning,78
554,fruit pectin,77
555,scallop,77
556,oat bran,77
557,pimento,77
558,grenadine syrup,77
559,turkey sausage,77
560,liquid smoke,77
561,candy sprinkles,76
562,cinnamon sugar,76
563,wheat pastry flour,76
564,espresso powder,75
565,dry milk powder,75
566,cotija cheese,75
567,halibut,75
568,pistachio,75
569,picante sauce,74
570,serrano peppers,74
571,serrano pepper,74
572,orange extract,74
573,chard,74
574,roll,73
575,meat,73
576,caraway seed,73
577,lemongrass,72
578,pepperoni sausage,72
579,limeade concentrate,72
580,pork spareribs,72
581,spelt flour,71
582,pomegranate juice,71
583,strawberry jam,71
584,grapefruit juice,71
585,bread rounds,70
586,apricot jam,70
587,green,70
588,fruit cocktail,69
589,rutabaga,69
590,collard greens,69
591,bit,68
592,dry vermouth,68
593,rice cereal,68
594,chocolate-hazelnut,68
595,poblano pepper,68
596,Spray,68
597,pancetta,67
598,bok choy,67
599,ancho chile powder,67
600,grit,67
601,rigatoni pasta,67
602,oatmeal,66
603,Whipped Topping,66
604,raspberry preserves,65
605,turkey bacon,65
606,coriander seed,64
607,pomegranate seeds,64
608,wheat bran,64
609,bread stuffing,64
610,portobello,64
611,pretzel,64
612,fontina cheese,64
613,devil's food,63
614,bamboo shoots,63
615,champagne,63
616,dry bread crumbs,63
617,sirloin steak,63
618,chocolate frosting,62
619,beef tenderloin,62
620,espresso,62
621,bamboo skewers,62
622,gochujang,62
623,rosemary leaves,61
624,polenta,61
625,cereal squares,61
626,port wine,61
627,guacamole,61
628,sunflower seed oil,61
629,sprinkle,60
630,bay scallops,60
631,queso fresco,60
632,chuck,59
633,white,59
634,stuffing,59
635,potato nuggets,59
636,rose water,59
637,cooking sherry,58
638,granola,58
639,grapefruit,58
640,white potatoes,58
641,sourdough starter,58
642,browning sauce,58
643,nori,57
644,saffron threads,57
645,wood chips,56
646,pie crusts,56
647,mango chunks,56
648,sweet,56
649,cherry juice,56
650,lime leaves,56
651,semolina flour,56
652,pork butt,55
653,pork tenderloins,55
654,tart shells,55
655,cube,55
656,watercress,55
657,bitter,55
658,baking mix,55
659,soup,55
660,vanilla protein powder,54
661,crab meat,54
662,nectarine,54
663,maraschino cherries,54
664,chili seasoning,54
665,Chocolate,53
666,lemonade,53
667,fennel bulb,53
668,wheat gluten,53
669,lobster tails,53
670,buckwheat flour,53
671,Colby cheese,53
672,Rice,53
673,bread dough,53
674,chili oil,52
675,orange segments,52
676,Cheddar Cheese,52
677,turkey meat,52
678,herb,52
679,mozzarella,52
680,white corn,52
681,corn tortillas,52
682,cumin seed,52
683,chickpea flour,51
684,broth,51
685,dill pickle juice,51
686,bacon grease,51
687,matzo meal,51
688,salsa verde,51
689,arrowroot powder,51
690,Cheddar cheese soup,51
691,ham bone,50
692,instant rice,50
693,Pretzel Crisps,50
694,wheat tortillas,50
695,beef consomme,50
696,coffee powder,50
697,Muenster cheese,50
698,wrapped caramels,49
699,arugula leaves,49
700,fajita seasoning,49
701,chili,49
702,wooden skewers,49
703,veal,48
704,whipped cream cheese,48
705,banana bread,48
706,pork belly,47
707,white hominy,47
708,chicken bouillon powder,47
709,hoagie rolls,47
710,Stevia,47
711,Sugar,47
712,lobster meat,47
713,masa harina,46
714,stick,46
715,link,46
716,jigger vodka,46
717,ziti pasta,46
718,kiss,46
719,agave syrup,46
720,cocktail sauce,46
721,lemon-lime soda,46
722,green salsa,45
723,wasabi paste,45
724,pork roast,45
725,tamarind paste,45
726,farro,44
727,bulgur,44
728,star anise,44
729,buttermilk baking,44
730,wine,44
731,cheese sauce,44
732,taco shells,43
733,beef short,43
734,ditalini pasta,43
735,bacon strips,43
736,chocolate-hazelnut spread,43
737,gingersnap cookies,43
738,chocolate candy,43
739,kimchi,43
740,leaf,43
741,pork ribs,43
742,vermouth,42
743,brown lentils,42
744,sour cherries,42
745,apple pie spice,42
746,steak,42
747,mango chutney,42
748,trout,42
749,plantain,41
750,grape juice,41
751,packet,41
752,Burgundy wine,41
753,hemp seeds,41
754,green tea powder,41
755,grape jelly,41
756,Havarti cheese,41
757,honeydew melon,41
758,Parmesan Cheese,41
759,hazelnut liqueur,41
760,biscuit,41
761,tapioca flour,41
762,ham hocks,41
763,fettuccine,40
764,fry,40
765,chayote squash,40
766,harissa,40
767,cognac,40
768,kale leaves,40
769,Cooking spray,39
770,lamb shoulder,39
771,orange bell pepper,39
772,Alfredo sauce,39
773,coffee beans,39
774,sugar pumpkin,39
775,turkey gravy,39
776,corn,39
777,dry mustard powder,39
778,sorghum flour,39
779,baby corn,39
780,Corn Oil,39
781,all-purpose baking,39
782,blend,38
783,anchovy paste,38
784,Lime,38
785,mozzarella balls,38
786,pepperoncini peppers,38
787,cooking wine,38
788,beef round,37
789,star anise pods,37
790,cracker crumbs,37
791,pineapple rings,37
792,baby arugula,37
793,cheese spread,37
794,chili paste,37
795,sweet pickles,37
796,fusilli pasta,37
797,beef base,37
798,vanilla bean paste,37
799,chop,37
800,pancetta bacon,37
801,creme de menthe,37
802,ginger-garlic paste,37
803,prawn,37
804,sweet potato,37
805,fava beans,37
806,corn chips,37
807,cake mix,37
808,soba noodles,36
809,black-eyed peas,36
810,luncheon meat,36
811,lemon flavored,36
812,mahi fillets,36
813,artichoke,36
814,ham steak,36
815,white onions,36
816,breadcrumb,36
817,caramel sauce,36
818,egg white,36
819,Hungarian paprika,36
820,catfish fillets,36
821,quarts oil,35
822,Monterey Jack cheese,35
823,cookie crumbs,35
824,unsalted peanuts,35
825,potato gnocchi,35
826,chocolate cookie crumbs,35
827,orange sherbet,35
828,creme de cacao,35
829,flaxseed meal,35
830,green tomatoes,34
831,millet,34
832,turmeric powder,34
833,tea bags,34
834,pomegranate,34
835,graham cracker,34
836,English,34
837,fish stock,34
838,Bay Seasoning,34
839,persimmon,34
840,linguini pasta,34
841,*,34
842,Mexican crema,34
843,fruit jam,34
844,apricot nectar,34
845,hominy,34
846,Buffalo wing sauce,34
847,radicchio,34
848,game hens,33
849,udon noodles,33
850,cornbread,33
851,mustard greens,33
852,tuna packed,33
853,papaya,33
854,strawberry preserves,33
855,chipotle chile,33
856,squid,33
857,pie filling,33
858,Pillsbury,33
859,chip,33
860,orange flavored,33
861,red beans,33
862,dinner rolls,32
863,pink lemonade,32
864,cacao powder,32
865,artificial sweetener,32
866,Champagne,32
867,sourdough bread,32
868,petite peas,32
869,banana liqueur,32
870,Yogurt,32
871,heirloom tomatoes,32
872,broccoli rabe,32
873,fenugreek seeds,32
874,galangal,32
875,halloumi cheese,32
876,bread rolls,32
877,hummus,32
878,tarragon vinegar,32
879,raspberry flavored,31
880,muffin,31
881,pistachio pudding,31
882,safflower oil,31
883,sofrito,31
884,marshmallow cream,31
885,Applesauce,31
886,vanilla wafer crumbs,31
887,beef flank,31
888,ham hock,31
889,chestnut,31
890,sausage links,31
891,sucrolose sweetener,31
892,Mexico,31
893,chorizo,31
894,farfalle pasta,31
895,chocolate cookie,30
896,tostada shells,30
897,apple butter,30
898,peppermint candies,30
899,white cooking wine,30
900,butter lettuce,30
901,spice cake,30
902,jalapeno chile,30
903,oelek,30
904,Chardonnay wine,30
905,pancake mix,30
906,gnocchi,30
907,Parchment Paper,30
908,garlic granules,30
909,roll dough,30
910,Mustard,30
911,Sour cream,30
912,swordfish,30
913,ancho chile pepper,29
914,skirt steak,29
915,sweet peppers,29
916,wheat,29
917,Italian dressing,29
918,salt pork,29
919,chile oil,29
920,file powder,29
921,thickness,29
922,raspberry vinegar,29
923,rib,29
924,daikon radish,29
925,soy flour,29
926,black walnuts,29
927,celery root,29
928,beef roast,29
929,jar,28
930,egg roll,28
931,linguine,28
932,catfish,28
933,persimmon pulp,28
934,crust,28
935,crawfish tails,28
936,spicy mustard,28
937,cardamom seeds,28
938,turkey broth,28
939,black lentils,28
940,beef oxtail,28
941,escarole,28
942,Italian bread,28
943,pepitas,27
944,bagel seasoning,27
945,candy bars,27
946,Genoa salami,27
947,Mexican beer,27
948,salad shrimp,27
949,pickle,27
950,Irish whiskey,27
951,lamb chops,27
952,bison,27
953,cod,27
954,marzipan,26
955,chocolate chunks,26
956,egg replacer,26
957,raspberry vinaigrette,26
958,pastry shell,26
959,Cream Cheese,26
960,Merlot wine,26
961,beef gravy,26
962,bran cereal,26
963,crust dough,26
964,stuffing mix,26
965,chile flakes,26
966,beef sirloin steak,26
967,peach preserves,26
968,wax beans,26
969,liquid pectin,26
970,wheat berries,26
971,turkey stock,26
972,chocolate liqueur,26
973,Mexican blend cheese,26
974,chervil,26
975,paneer,26
976,chocolate drink,26
977,kitchen twine,26
978,unsalted sunflower seeds,26
979,grill seasoning,26
980,orecchiette pasta,26
981,Ham,26
982,chocolate sprinkles,25
983,apple jelly,25
984,cheese ravioli,25
985,champagne vinegar,25
986,sunflower oil,25
987,pepperoncini,25
988,kielbasa,25
989,Scotch whiskey,25
990,ginger beer,25
991,turnip greens,25
992,lemon yogurt,25
993,lobster,25
994,parchment paper,25
995,prime,25
996,Vanilla,25
997,Salsa,25
998,ancho chiles,25
999,fruit punch,25
1000,Pudding,25
1001,baby kale,25
1002,sherry wine,25
1003,turkey carcass,25
1004,chicken tenderloins,25
1005,horseradish sauce,25
1006,sumac,24
1007,turkey legs,24
1008,sweet vermouth,24
1009,bagel,24
1010,leg of lamb,24
1011,sunflower seed kernels,24
1012,mignon,24
1013,candy corn,24
1014,rum extract,24
1015,ladyfinger,24
1016,candy canes,24
1017,Cake,24
1018,marinade,24
1019,lavender flowers,24
1020,Mexican oregano,24
1021,mushroom stems,24
1022,chocolate morsels,24
1023,fennel bulbs,24
1024,sumac powder,24
1025,Pineapple,24
1026,lamb shanks,24
1027,cornflake crumbs,24
1028,fruit peel,24
1029,tail,24
1030,Lemon,24
1031,alfalfa sprouts,24
1032,Cotija cheese,23
1033,sec liqueur,23
1034,feta,23
1035,mostaccioli pasta,23
1036,iron steak,23
1037,wasabi powder,23
1038,tea,23
1039,mixture,23
1040,pear halves,23
1041,haddock fillets,23
1042,chipotle chiles,23
1043,shrimp paste,23
1044,manicotti shells,23
1045,baby peas,23
1046,Liner,23
1047,beef soup,23
1048,Cinnamon,23
1049,Spread,23
1050,PHILADELPHIA,23
1051,vermicelli pasta,23
1052,palm,23
1053,baby greens,23
1054,broccoli coleslaw,23
1055,portobello mushroom,23
1056,Vidalia onion,23
1057,Broth,23
1058,salt and pepper,23
1059,melon liqueur,23
1060,pickle juice,23
1061,apricot halves,23
1062,Baking Chips,22
1063,pastry flour,22
1064,Mozzarella Cheese,22
1065,dry stuffing,22
1066,croissant,22
1067,Beans,22
1068,halibut fillets,22
1069,dressing mix,22
1070,liquid aminos,22
1071,celery leaves,22
1072,dill seed,22
1073,Sauce,22
1074,VELVEETA,22
1075,white frosting,22
1076,cream sherry,22
1077,dulce de leche,22
1078,cherry peppers,22
1079,Dressing,22
1080,chile de arbol peppers,22
1081,star anise pod,22
1082,Cheddar,22
1083,ginger garlic paste,22
1084,yellow bell pepper,21
1085,lamb meat,21
1086,pretzel twists,21
1087,matzo cake meal,21
1088,black tea bags,21
1089,Italian herbs,21
1090,lamb stew,21
1091,burger buns,21
1092,pomegranate molasses,21
1093,millet flour,21
1094,blackberry jam,21
1095,fish fillets,21
1096,turkey drippings,21
1097,vanilla wafer cookies,21
1098,Medjool dates,21
1099,mango nectar,21
1100,Buffalo wing,21
1101,container,21
1102,chili peppers,21
1103,buttery spread,21
1104,cocoa nibs,21
1105,Bibb lettuce,21
1106,fruit flavored,21
1107,mushroom caps,21
1108,romaine,20
1109,lavender,20
1110,tomato pesto,20
1111,soda,20
1112,alcohol,20
1113,multigrain bread,20
1114,English cucumbers,20
1115,flaxseed,20
1116,iron,20
1117,corned beef hash,20
1118,Bartlett pears,20
1119,Mushroom Soup,20
1120,Noodles,20
1121,Traditional Sauce,20
1122,strawberry extract,20
1123,sugar snap,20
1124,Ketchup,20
1125,chipotle powder,20
1126,orzo,20
1127,lime sherbet,20
1128,goji berries,19
1129,fruit preserves,19
1130,coffee creamer,19
1131,Kaiser rolls,19
1132,Salad Dressing,19
1133,black bean sauce,19
1134,citron,19
1135,chutney,19
1136,coffee liqueur,19
1137,beet greens,19
1138,juniper berries,19
1139,duck,19
1140,anise seeds,19
1141,celery flakes,19
1142,cinnamon chips,19
1143,ounce,19
1144,plank,19
1145,BBQ sauce,18
1146,huckleberry,18
1147,linguica sausage,18
1148,buckwheat groats,18
1149,crab,18
1150,Original,18
1151,sultana raisins,18
1152,cauliflower rice,18
1153,swai fish,18
1154,truffle oil,18
1155,rabbit,18
1156,melt,18
1157,chevre,18
1158,pretzel sticks,18
1159,seaweed,18
1160,Vodka,18
1161,white cornmeal,18
1162,stock,18
1163,apricot brandy,18
1164,Flour,18
1165,Cabernet Sauvignon,18
1166,red snapper,17
1167,Belgian endive,17
1168,Apple Butter,17
1169,pork rinds,17
1170,caramel topping,17
1171,pineapple preserves,17
1172,colada,17
1173,citron vodka,17
1174,broccoli soup,17
1175,tube,17
1176,strawberry cake,17
1177,cranberry beans,17
1178,chai tea,17
1179,muffin mix,17
1180,burger crumbles,17
1181,cooking sauce,17
1182,black mustard seeds,17
1183,buttermilk biscuits,17
1184,strawberry yogurt,17
1185,tiger prawns,17
1186,Cointreau,17
1187,raspberry sherbet,17
1188,clementine,17
1189,broccolini,17
1190,za'atar,17
1191,sugar-free,17
1192,rice vermicelli,17
1193,Chocolate Chips,17
1194,matcha green,17
1195,wheat crackers,17
1196,celeriac,17
1197,jalapeno chile peppers,17
1198,chipotle chile pepper,17
1199,fenugreek leaves,17
1200,crumbly,17
1201,Rice Sides,17
1202,Penne,17
1203,panko,17
1204,celery seeds,17
1205,ounce rum,17
1206,Gelatin,17
1207,carob powder,17
1208,duck breast,17
1209,liquid stevia,17
1210,bean paste,17
1211,container cream cheese,17
1212,bitter melon,16
1213,arrowroot flour,16
1214,lemon zest,16
1215,dry Marsala wine,16
1216,glutinous white rice,16
1217,Jarlsberg cheese,16
1218,tempeh,16
1219,baking spray,16
1220,dry pasta,16
1221,Mozzarella cheese,16
1222,Cocoa,16
1223,Marzano tomatoes,16
1224,Spaghetti,16
1225,pastry shells,16
1226,unsalted chicken stock,16
1227,pandan leaves,16
1228,carton beef stock,16
1229,agar-agar powder,16
1230,shortbread cookies,16
1231,Bosc pears,16
1232,hemp seed hearts,16
1233,ciabatta bread,16
1234,blood orange,16
1235,tonic water,16
1236,pork neck,16
1237,turmeric root,16
1238,russet potatoes,16
1239,buttery crackers,16
1240,tea powder,16
1241,peach nectar,16
1242,jigger,16
1243,grenadine,16
1244,cheese soup,16
1245,soybean oil,16
1246,Manchego cheese,16
1247,liquid seasoning,16
1248,Sriracha,16
1249,vinaigrette,16
1250,baby clams,16
1251,gelatin powder,16
1252,jaggery,16
1253,Blend,16
1254,pepper powder,16
1255,tamarind juice,16
1256,lollipop,16
1257,tzatziki sauce,16
1258,candied fruit,16
1259,cane,16
1260,gumdrop,16
1261,kiwi fruit,16
1262,licorice,16
1263,anise oil,16
1264,white truffle oil,16
1265,bologna,16
1266,crawfish,16
1267,snow,16
1268,Oaxaca cheese,15
1269,fish,15
1270,Emmentaler cheese,15
1271,tater tots,15
1272,white peppercorns,15
1273,Classico,15
1274,tamari sauce,15
1275,cayenne pepper sauce,15
1276,rose petals,15
1277,lychee,15
1278,cayenne,15
1279,Parmesan,15
1280,thread,15
1281,Handful hickory,15
1282,bulgur wheat,15
1283,Swiss chard,15
1284,bean flour,15
1285,tomato pasta sauce,15
1286,green cardamom,15
1287,Filet,15
1288,Flour Tortillas,15
1289,cornflakes,15
1290,chuck roast,15
1291,kombu,15
1292,shrimp soup,15
1293,trout fillets,15
1294,tamarind pulp,15
1295,mint extract,15
1296,asparagus tips,15
1297,cacao nibs,15
1298,proof rum,15
1299,brioche,15
1300,chipotle pepper powder,15
1301,chocolate sauce,15
1302,Whipped cream,15
1303,Seasoning,15
1304,whole grain mustard,15
1305,white fish,15
1306,cola,15
1307,vanilla powder,15
1308,Prosecco,15
1309,beef shank,15
1310,salad seasoning,14
1311,tangerine juice,14
1312,puff pastry sheets,14
1313,citric acid powder,14
1314,Angostura bitters,14
1315,fluff,14
1316,vanilla vodka,14
1317,dry pectin,14
1318,Bing cherries,14
1319,honeydew,14
1320,Parmigiano-Reggiano,14
1321,raspberry vodka,14
1322,Jamaican jerk,14
1323,Candy,14
1324,unsalted cashews,14
1325,barbeque seasoning,14
1326,silver tequila,14
1327,shoepeg corn,14
1328,Chocolate Morsels,14
1329,pie,14
1330,cornichons,14
1331,mung beans,14
1332,Mary,14
1333,plum jam,14
1334,raspberry syrup,14
1335,Boston lettuce,14
1336,ciabatta rolls,14
1337,jellied cranberry sauce,14
1338,littleneck clams,14
1339,grape leaves,14
1340,beef cube,14
1341,beef sausage,14
1342,Cottage Cheese,14
1343,turkey kielbasa,14
