,Ingredient,Number of Usage
0,salt,31117
1,onion,23295
2,egg,21585
3,garlic,21343
4,butter,20551
5,white sugar,18409
6,water,16483
7,all purpose flour,15839
8,olive oil,14206
9,black pepper,13512
10,milk,12203
11,vanilla extract,10602
12,tomato,9826
13,vegetable oil,9204
14,brown sugar,8450
15,chicken broth,7911
16,cinnamon,7809
17,lemon juice,7670
18,baking powder,6358
19,baking soda,5617
20,potato,5522
21,parsley,5215
22,carrot,5046
23,white vinegar,4891
24,soy sauce,4611
25,Cheddar cheese,4461
26,Parmesan cheese,4386
27,cream cheese,4074
28,celery,4069
29,sour cream,3811
30,lemon,3784
31,chicken,3638
32,cilantro,3560
33,mushroom,3534
34,nutmeg,3421
35,beef,3414
36,cayenne pepper,3411
37,cumin,3386
38,honey,3381
39,oregano,3322
40,ginger,3275
41,confectioners' sugar,3271
42,mayonnaise,3253
43,unsalted butter,3168
44,bacon,3166
45,paprika,3142
46,basil,3139
47,walnut,2874
48,chocolate chips,2793
49,cooking spray,2634
50,thyme,2589
51,cornstarch,2559
52,bread crumbs,2540
53,green pepper,2539
54,sugar,2522
55,Worcestershire sauce,2420
56,chili powder,2293
57,apple,2291
58,clove,2268
59,oat,2196
60,pecan,2132
61,cheese,2085
62,coconut milk,2080
63,heavy cream,2069
64,white bread,1991
65,sesame oil,1956
66,mozzarella cheese,1951
67,lime,1948
68,coconut,1922
69,banana,1921
70,cocoa powder,1918
71,almond,1874
72,orange,1815
73,zucchini,1767
74,orange juice,1756
75,onion powder,1718
76,raisin,1689
77,shortening,1657
78,heavy whipping cream,1625
79,shrimp,1560
80,yogurt,1555
81,pumpkin seed,1542
82,flour,1541
83,rosemary,1535
84,spinach,1534
85,margarine,1488
86,strawberry,1443
87,chocolate,1425
88,ketchup,1397
89,balsamic vinegar,1395
90,apple cider vinegar,1327
91,avocado,1327
92,buttermilk,1322
93,Dijon mustard,1315
94,bread,1269
95,mustard,1261
96,pineapple,1252
97,cucumber,1216
98,canola oil,1200
99,cabbage,1168
100,dry yeast,1150
101,bean,1146
102,dried cranberry,1145
103,pepper sauce,1139
104,blueberry,1121
105,jalapeno pepper,1110
106,maple syrup,1091
107,oil,1082
108,shallot,1077
109,curry powder,1068
110,ginger root,1049
111,Italian seasoning,1046
112,whole wheat flour,1039
113,turmeric,989
114,peanut,972
115,almond meal,969
116,ham,967
117,feta cheese,960
118,allspice,958
119,chile peppers,946
120,whipped topping,937
121,bay leaf,905
122,corn syrup,891
123,bay leaves,881
124,turkey,877
125,almond extract,861
126,black olives,850
127,jalapeno peppers,831
128,beef broth,819
129,coriander,812
130,sage,796
131,salsa,790
132,mushroom soup,789
133,dry white wine,764
134,molasses,744
135,chive,740
136,white pepper,724
137,dill,724
138,applesauce,714
139,cherry,714
140,pea,713
141,beer,710
142,creamy,708
143,kidney beans,706
144,flour tortillas,680
145,rice,668
146,cauliflower,662
147,ricotta cheese,658
148,broccoli,654
149,basil leaves,653
150,white onion,650
151,cherry tomatoes,644
152,rum,635
153,mint,626
154,green onion,622
155,cake,619
156,marshmallow,603
157,tofu,597
158,pork,588
159,dill weed,585
160,pasta,585
161,kernel corn,585
162,pepper,583
163,sausage,578
164,vodka,576
165,pie crust,576
166,bread flour,548
167,red wine,548
168,eggplant,547
169,noodle,542
170,dry mustard,530
171,bell pepper,525
172,raspberry,521
173,peach,520
174,pineapple juice,520
175,cornmeal,519
176,chile pepper,518
177,pork chops,514
178,salmon,513
179,asparagus,510
180,cereal,506
181,cream of tartar,506
182,brownies,497
183,red bell pepper,496
184,spaghetti,486
185,bell peppers,484
186,pork sausage,484
187,black peppercorn,477
188,date,471
189,broccoli florets,465
190,quinoa,464
191,artichoke hearts,460
192,taco seasoning,457
193,vanilla pudding,453
194,cardamom,443
195,leek,440
196,cottage cheese,434
197,barbeque sauce,433
198,caper,432
199,tuna,431
200,onion soup,431
201,egg noodles,430
202,butternut squash,423
203,kale,418
204,salad dressing,415
205,red pepper,413
206,tortilla,403
207,macaroni,400
208,blue cheese,396
209,gelatin,392
210,tarragon,390
211,mango,390
212,garbanzo beans,390
213,coffee,387
214,cashew,387
215,pastry,376
216,cake flour,374
217,vegetable,371
218,horseradish,368
219,spinach leaves,364
220,cow milk,363
221,goat cheese,353
222,Cajun seasoning,353
223,scallion,352
224,mint leaves,343
225,marjoram,343
226,mustard powder,339
227,garam masala,329
228,chickpea,328
229,penne pasta,328
230,crabmeat,326
